id;name;model;color;plate;odometer;year;jhi_group;active
1;Samoa deposit Berkshire;facilitate Toalhas;cenoura;ouro Cuban;22526;64758;reinvent Right-sized;1
2;Alameda;calculate Security Cambridgeshire;púrpura;encoding;26525;32886;Georgia parsing 24;1
3;azul;generate efficient Designer;bordô;orchestrate optimize;94059;24306;program;1
4;motivating Avon Group;Genérico;laranja;neural experiences web;19288;82803;attitude Profound Berkshire;1
5;Janeiro;Impressionante synthesize;ametista;Automotivo National;85616;89010;Visionary Forward;1
6;Madeira;Minas à;azul celeste;Assistant;92024;11642;Filmes;1
7;São USB Paraná;marca;caramelo;International methodology;8703;87984;Factors Central;1
8;Pizza;optimizing stable;azul petróleo;Canadian;27282;57887;RAM Direct Gostoso;1
9;Aço input;Lats Pizza Acre;madeira;Officer 1080p Queijo;23070;77768;JBOD Account;0
10;Borders;bypass synergize Sapatos;grená;partnerships fuligem Regional;35585;27374;Macio;0
