id;date;responsible;part;image_path;cost;resolved
1;2022-09-30;index Usability São;Berkshire mindshare;solution Assistant;24062;true
2;2022-09-29;Borders Multi-lateral Bola;Travessa;Alameda Industrial paradigms;30340;true
3;2022-09-30;Refinado Rua;hack Account;Catarina Jogos Peixe;83594;false
4;2022-09-29;Account;Chapéu;Jardim;85366;false
5;2022-09-30;neural 1080p de;Rodovia;open-source Macio;38667;true
6;2022-09-29;convergence implement;Avenida;alarm compressing;50866;true
7;2022-09-30;Producer Gerais evolve;index;COM;2257;false
8;2022-09-30;Coordinator;schemas;Egyptian Gerais;64913;false
9;2022-09-30;implementation e-tailers;Silver;CFP National Card;39943;false
10;2022-09-30;Mercearia reboot;Associate Ergonômico;Regional;99203;false
