id;start_date;end_date;warranty;score;debt;concluded
1;2022-09-29;2022-09-30;96942;53373;77203;true
2;2022-09-30;2022-09-30;68807;47361;20386;true
3;2022-09-29;2022-09-29;50532;39346;59931;true
4;2022-09-30;2022-09-30;63507;15564;25495;true
5;2022-09-29;2022-09-29;92345;2991;82581;true
6;2022-09-29;2022-09-30;95869;21329;50244;true
7;2022-09-30;2022-09-29;37143;84250;18852;true
8;2022-09-30;2022-09-29;25245;84177;9511;false
9;2022-09-29;2022-09-30;90329;80936;58570;true
10;2022-09-30;2022-09-30;69067;3101;14280;false
