id;date;driver_name;odometer;internal_cleaning;external_cleaning;comment;score;cost
1;2022-09-30;Organized management;11348;protocol Metal Engineer;reinvent verde generation;XSS;97537;25855
2;2022-09-30;primary Manager;80834;Human Operations Catarina;SMTP;Macio Sergipe;88336;32089
3;2022-09-29;Arquipélago Networked Adaptive;16561;unleash;multi-byte sticky 1080p;synthesizing invoice;75142;58020
4;2022-09-30;Account Sapatos;62241;system;Jóias;hybrid card;96973;48473
5;2022-09-29;Cambridgeshire Jogos back;62416;ROI Branding ability;Ergonômico Rial overriding;object-oriented;35547;16950
6;2022-09-29;Intranet;97802;deposit Luvas BEAC;engage;engineer bluetooth Sapatos;59551;78395
7;2022-09-29;Associate;73689;Salgadinhos interface Buckinghamshire;as generate Agent;grená Pizza infrastructures;43330;65953
8;2022-09-29;Bola quantify Borders;14889;policy parsing;program;Cross-platform innovate;3053;38316
9;2022-09-30;Rua;11949;Salsicha ouro monitor;Pequeno Marginal;extensible;73740;68314
10;2022-09-29;Áustria redundant;18344;emulation Rodovia;visualize;Aço Group;96295;32798
